Position,Group_1,Group_2,Group_3,Group_4,Group_All
-2375.0,-0.0032645243030746452,-0.0027941516642644173,-0.003173900769490028,-0.0034282625037364975,-0.0031652195790308813
-2365.0,-0.0033472644103355403,-0.0027518074838894214,-0.0034396835138775185,-0.0034413106541834005,-0.003245024563828152
-2355.0,-0.003779791446383162,-0.0028845482136293015,-0.0034257502390368485,-0.003468905842220207,-0.00338976158424761
-2345.0,-0.0037744155812433683,-0.00291740211894725,-0.003406809166945099,-0.003400061655061851,-0.003374683591512761
-2335.0,-0.0035443558803809833,-0.0030405196140553406,-0.003379764709525866,-0.0035421970777424136,-0.0033767183012402254
-2325.0,-0.003637936228763343,-0.0031165005718815585,-0.0034162749317362727,-0.0035756364721254005,-0.0034365962277751213
-2315.0,-0.0038232389871762965,-0.0030570119719925486,-0.0034196443571268163,-0.0036834760808839673,-0.0034958567337336163
-2305.0,-0.004331636148202916,-0.0030499804780065695,-0.0033889496321378434,-0.0037875100244269644,-0.0036395417187776637
-2295.0,-0.004522156374147016,-0.003040419042440109,-0.0035193274997098144,-0.00398227808705051,-0.0037660714638082194
-2285.0,-0.004488914125693622,-0.002893722376515005,-0.0036001997099727396,-0.004002612651012305,-0.003746389142049162
-2275.0,-0.0046459554286749725,-0.0028166943908777492,-0.003563643512226038,-0.00406761374162534,-0.003773508218602645
-2265.0,-0.004719239567499086,-0.0029003954178821573,-0.0035215225799709133,-0.004005169062069909,-0.003786612692745845
-2255.0,-0.00485271523583802,-0.0029392854760708076,-0.0035019595499371794,-0.00396004463326038,-0.00381353319006283
-2245.0,-0.005203027955813753,-0.0029576837382041484,-0.003328177578496592,-0.003942717149134446,-0.003857940154554795
-2235.0,-0.005497358298943988,-0.002987111060419148,-0.003227601161480366,-0.0038160531487634523,-0.0038820726856017957
-2225.0,-0.00539238056976272,-0.0029145774072253205,-0.003296228344321038,-0.0038219605292939642,-0.0038563271981113135
-2215.0,-0.00526248204512854,-0.0029130886985791167,-0.0032137988350636115,-0.00383362332619704,-0.0038057882491276877
-2205.0,-0.005203158934394977,-0.0028421425781617665,-0.0032865160413636865,-0.0038091712895243226,-0.003785286080646118
-2195.0,-0.00524388837389653,-0.002773525799184483,-0.0033364334184273372,-0.0035808805643218946,-0.0037337186326077557
-2185.0,-0.005292357976979366,-0.0027549350688799595,-0.0032887853601209424,-0.0036419808773975803,-0.00374455378426746
-2175.0,-0.005433935428225524,-0.002716181009041565,-0.003193521009124455,-0.003665802599167493,-0.003752403010742879
-2165.0,-0.005508798326174219,-0.0026578883947964427,-0.0032659920803658443,-0.00372217928229,-0.003788759098158113
-2155.0,-0.00562905758595175,-0.00270840566826389,-0.003371464239200907,-0.0037414109205302936,-0.0038626289583500173
-2145.0,-0.005485057734573518,-0.0028497616590503253,-0.003411337843778371,-0.003965637645908788,-0.003927991714248218
-2135.0,-0.005453352526134471,-0.002852232222456813,-0.003436378770619647,-0.004007575471474388,-0.003937427508185221
-2125.0,-0.005218043835840038,-0.0029098623103035104,-0.003317159460026146,-0.0039821799420550795,-0.0038568514636455014
-2115.0,-0.00499518753114788,-0.0030458580167018303,-0.0031966965834974133,-0.003813548824865786,-0.0037628573293071203
-2105.0,-0.0046106793823354735,-0.0031404017228355945,-0.0032099004801242545,-0.003827704537962878,-0.0036971996766294707
-2095.0,-0.004547109156951362,-0.0030736687752081866,-0.0032581457726465536,-0.003691077910051674,-0.003642526100222224
-2085.0,-0.004488226496868733,-0.003219407166430047,-0.003232059220730486,-0.0035771284563483542,-0.0036292270891323366
-2075.0,-0.004431509024811121,-0.0033815760949936716,-0.003250233597960676,-0.003585790502281996,-0.003662295980401877
-2065.0,-0.004448488569425625,-0.003493832105036862,-0.003332768066446959,-0.0038644603209896907,-0.003784907300368823
-2055.0,-0.004202258287562974,-0.003486420249378939,-0.0032912802324710122,-0.004092824513375586,-0.003768216273901407
-2045.0,-0.004502602545921001,-0.0035905953964149046,-0.003442927144108001,-0.004269391258516992,-0.0039514025195618386
-2035.0,-0.004131155663321949,-0.003572710271459891,-0.003618978292829215,-0.004387423326033821,-0.003927584773924038
-2025.0,-0.00424733783705798,-0.0035197451111731786,-0.003743419117545033,-0.004442675483168951,-0.003988313620118848
-2015.0,-0.004533976024703092,-0.0032749718772636413,-0.003908058564439601,-0.00431725594571866,-0.004008588089168208
-2005.0,-0.0048064411280474405,-0.003226919404734024,-0.0039159315191092895,-0.004162386133425921,-0.004027944159155201
-1995.0,-0.004537172388107652,-0.0030762982107252848,-0.0037539311550398575,-0.004188734573873239,-0.003889059634284546
-1985.0,-0.004837155085347529,-0.0030732852313824044,-0.0036801875691282846,-0.004164830893760778,-0.003938895003218474
-1975.0,-0.005166303389628802,-0.0029886352725673757,-0.003570152357067134,-0.004097800873103442,-0.0039557594387820035
-1965.0,-0.005648641335086719,-0.0030447880099019396,-0.003589346498637194,-0.0041614643476581715,-0.004111102857590432
-1955.0,-0.005730620796235538,-0.0031232795256237577,-0.0037783848292937553,-0.004209502088465037,-0.004210487766104039
-1945.0,-0.005403619182684257,-0.0032217123574709277,-0.003754092966059918,-0.004273850698704386,-0.004163355217692883
-1935.0,-0.005406582909310911,-0.003185512789967542,-0.0036834510481385955,-0.004425445815850059,-0.004175288080765112
